样本ID (Sample ID),问题类型 (Issue Type),问题描述 (Description),图像路径 (Image Path),标签路径 (Label Path),详细信息 (Details)
cropped_cd_2_3(2)_clip3_15_1_1,corrupt_file,无法读取的图像或标签文件,,,
cropped_cd_3_4(2)_clip1_97_0_0,corrupt_file,无法读取的图像或标签文件,,,
cropped_cd_3_4(2)_clip2_33_-1_1,corrupt_file,无法读取的图像或标签文件,,,
cropped_cd_2_4_clip5_28_0_1,corrupt_file,无法读取的图像或标签文件,,,
cropped_cd_2_4_clip5_45_0_-1,corrupt_file,无法读取的图像或标签文件,,,
cropped_cd_3_4(2)_clip6_25_0_0,empty_mask,标签全为背景类（无前景目标）,,,
cropped_cd_3_4(2)_clip6_85_0_0,empty_mask,标签全为背景类（无前景目标）,,,
cropped_cd_3_4(2)_clip6_95_0_0,empty_mask,标签全为背景类（无前景目标）,,,
cropped_cd_3_4(2)_clip6_96_0_0,empty_mask,标签全为背景类（无前景目标）,,,
cropped_H48F016018_clip13_27_1_0,empty_mask,标签全为背景类（无前景目标）,,,
cropped_H48F016018_clip13_28_1_-1,empty_mask,标签全为背景类（无前景目标）,,,
cropped_H48F016018_clip13_29_0_1,empty_mask,标签全为背景类（无前景目标）,,,
cropped_H48F016018_clip13_30_-1_-1,empty_mask,标签全为背景类（无前景目标）,,,
cropped_H48F016018_clip13_31_1_-1,empty_mask,标签全为背景类（无前景目标）,,,
cropped_H48F016018_clip13_32_0_-1,empty_mask,标签全为背景类（无前景目标）,,,
cropped_H48F016018_clip13_33_0_-1,empty_mask,标签全为背景类（无前景目标）,,,
cropped_H48F016018_clip13_34_0_-1,empty_mask,标签全为背景类（无前景目标）,,,
cropped_H48F016018_clip13_35_0_-1,empty_mask,标签全为背景类（无前景目标）,,,
cropped_H48F016018_clip13_36_0_-1,empty_mask,标签全为背景类（无前景目标）,,,
cropped_H48F016018_clip13_37_0_-1,empty_mask,标签全为背景类（无前景目标）,,,
cropped_H48F016018_clip13_63_0_1,empty_mask,标签全为背景类（无前景目标）,,,
cropped_H48F016018_clip13_64_0_1,empty_mask,标签全为背景类（无前景目标）,,,
cropped_H48F016018_clip13_65_-1_1,empty_mask,标签全为背景类（无前景目标）,,,
cropped_H48F016018_clip13_66_0_-1,empty_mask,标签全为背景类（无前景目标）,,,
cropped_H48F016018_clip13_67_0_-1,empty_mask,标签全为背景类（无前景目标）,,,
cropped_H48F016018_clip13_68_0_-1,empty_mask,标签全为背景类（无前景目标）,,,
cropped_H48F016018_clip13_69_0_-1,empty_mask,标签全为背景类（无前景目标）,,,
cropped_H48F016018_clip13_70_-1_0,empty_mask,标签全为背景类（无前景目标）,,,
cropped_H48F016018_clip13_71_-1_0,empty_mask,标签全为背景类（无前景目标）,,,
cropped_H48F016018_clip13_72_0_1,empty_mask,标签全为背景类（无前景目标）,,,
cropped_H48F016018_clip13_73_0_1,empty_mask,标签全为背景类（无前景目标）,,,
cropped_H48F016018_clip13_74_-1_1,empty_mask,标签全为背景类（无前景目标）,,,
cropped_H48F016018_clip13_75_-1_-1,empty_mask,标签全为背景类（无前景目标）,,,
cropped_H48F016018_clip13_80_0_1,empty_mask,标签全为背景类（无前景目标）,,,
cropped_H48F016018_clip13_81_0_1,empty_mask,标签全为背景类（无前景目标）,,,
cropped_H48F016018_clip13_82_1_1,empty_mask,标签全为背景类（无前景目标）,,,
cropped_H48F016018_clip13_83_1_1,empty_mask,标签全为背景类（无前景目标）,,,
cropped_H48F016018_clip13_85_0_-1,empty_mask,标签全为背景类（无前景目标）,,,
cropped_H48F016018_clip13_86_0_-1,empty_mask,标签全为背景类（无前景目标）,,,
cropped_H48F016018_clip13_87_0_0,empty_mask,标签全为背景类（无前景目标）,,,
cropped_cd_2_4_clip2_71_0_0,empty_mask,标签全为背景类（无前景目标）,,,
cropped_cd_2_4_clip2_82_0_0,empty_mask,标签全为背景类（无前景目标）,,,
cropped_cd_3_3_clip7_43_1_1,empty_mask,标签全为背景类（无前景目标）,,,
cropped_cd_3_3_clip7_50_1_-1,empty_mask,标签全为背景类（无前景目标）,,,
cropped_cd_3_3_clip7_51_1_-1,empty_mask,标签全为背景类（无前景目标）,,,
cropped_cd_3_3_clip7_70_0_0,empty_mask,标签全为背景类（无前景目标）,,,
cropped_cd_3_3_clip7_73_0_0,empty_mask,标签全为背景类（无前景目标）,,,
cropped_cd_3_3_clip7_78_0_0,empty_mask,标签全为背景类（无前景目标）,,,
cropped_cd_3_3_clip7_85_0_0,empty_mask,标签全为背景类（无前景目标）,,,
cropped_cd_3_3_clip7_90_0_0,empty_mask,标签全为背景类（无前景目标）,,,
cropped_cd_2_4(3)_clip2_48_0_0,empty_mask,标签全为背景类（无前景目标）,,,
cropped_cd_2_4(3)_clip2_49_0_0,empty_mask,标签全为背景类（无前景目标）,,,
cropped_cd_2_4(3)_clip2_81_0_0,empty_mask,标签全为背景类（无前景目标）,,,
cropped_cd_2_4(3)_clip2_83_0_0,empty_mask,标签全为背景类（无前景目标）,,,
cropped_cd_2_4(2)_clip6_15_0_0,empty_mask,标签全为背景类（无前景目标）,,,
cropped_cd_2_3_clip13_26_0_1,empty_mask,标签全为背景类（无前景目标）,,,
cropped_cd_2_3_clip13_28_-1_0,empty_mask,标签全为背景类（无前景目标）,,,
cropped_cd_2_3_clip13_91_0_0,empty_mask,标签全为背景类（无前景目标）,,,
cropped_cd_2_3_clip13_96_0_0,empty_mask,标签全为背景类（无前景目标）,,,
cropped_cd_2_3_clip13_97_0_0,empty_mask,标签全为背景类（无前景目标）,,,
cropped_H48F015017_clip4_15_0_-1,empty_mask,标签全为背景类（无前景目标）,,,
cropped_H48F015017_clip4_17_-1_0,empty_mask,标签全为背景类（无前景目标）,,,
cropped_H48F015017_clip4_21_0_1,empty_mask,标签全为背景类（无前景目标）,,,
cropped_H48F015017_clip4_22_-1_-1,empty_mask,标签全为背景类（无前景目标）,,,
cropped_H48F015017_clip4_34_1_-1,empty_mask,标签全为背景类（无前景目标）,,,
cropped_H48F015017_clip4_37_0_1,empty_mask,标签全为背景类（无前景目标）,,,
cropped_H48F015017_clip4_48_0_0,empty_mask,标签全为背景类（无前景目标）,,,
cropped_H48F015017_clip4_4_-1_0,empty_mask,标签全为背景类（无前景目标）,,,
cropped_H48F015017_clip4_59_0_0,empty_mask,标签全为背景类（无前景目标）,,,
cropped_H48F015017_clip4_68_0_0,empty_mask,标签全为背景类（无前景目标）,,,
cropped_H48F015017_clip4_69_0_0,empty_mask,标签全为背景类（无前景目标）,,,
cropped_H48F015017_clip4_6_1_-1,empty_mask,标签全为背景类（无前景目标）,,,
cropped_H48F015017_clip4_77_0_0,empty_mask,标签全为背景类（无前景目标）,,,
cropped_H48F015017_clip4_78_0_0,empty_mask,标签全为背景类（无前景目标）,,,
cropped_H48F015017_clip4_79_0_0,empty_mask,标签全为背景类（无前景目标）,,,
cropped_H48F015017_clip4_7_0_1,empty_mask,标签全为背景类（无前景目标）,,,
cropped_H48F015017_clip4_82_0_0,empty_mask,标签全为背景类（无前景目标）,,,
cropped_H48F015017_clip4_86_0_0,empty_mask,标签全为背景类（无前景目标）,,,
cropped_H48F015017_clip4_8_0_1,empty_mask,标签全为背景类（无前景目标）,,,
cropped_H48F015017_clip4_95_0_0,empty_mask,标签全为背景类（无前景目标）,,,
cropped_H48F015017_clip4_96_0_0,empty_mask,标签全为背景类（无前景目标）,,,
cropped_cd_2_3(3)_clip1_55_0_0,empty_mask,标签全为背景类（无前景目标）,,,
cropped_cd_2_3(3)_clip1_57_0_0,empty_mask,标签全为背景类（无前景目标）,,,
cropped_cd_2_3(3)_clip1_58_0_0,empty_mask,标签全为背景类（无前景目标）,,,
cropped_cd_2_3(3)_clip1_59_0_0,empty_mask,标签全为背景类（无前景目标）,,,
cropped_cd_2_3(3)_clip1_64_0_0,empty_mask,标签全为背景类（无前景目标）,,,
cropped_cd_2_3(3)_clip1_72_0_0,empty_mask,标签全为背景类（无前景目标）,,,
cropped_cd_2_3(2)_clip3_27_0_1,empty_mask,标签全为背景类（无前景目标）,,,
cropped_cd_2_3(2)_clip3_44_0_1,empty_mask,标签全为背景类（无前景目标）,,,
cropped_cd_2_3(2)_clip3_45_0_1,empty_mask,标签全为背景类（无前景目标）,,,
cropped_cd_2_3(2)_clip3_46_0_1,empty_mask,标签全为背景类（无前景目标）,,,
cropped_cd_2_3(2)_clip3_47_0_0,empty_mask,标签全为背景类（无前景目标）,,,
cropped_cd_2_3(2)_clip3_50_0_0,empty_mask,标签全为背景类（无前景目标）,,,
cropped_cd_2_3(2)_clip3_53_0_0,empty_mask,标签全为背景类（无前景目标）,,,
cropped_cd_2_3(2)_clip3_56_0_0,empty_mask,标签全为背景类（无前景目标）,,,
cropped_cd_2_3(2)_clip3_99_0_0,empty_mask,标签全为背景类（无前景目标）,,,
cropped_cd_3_3_clip4_87_0_0,empty_mask,标签全为背景类（无前景目标）,,,
cropped_H48F015017_clip8_23_0_0,empty_mask,标签全为背景类（无前景目标）,,,
cropped_H48F015017_clip8_24_0_0,empty_mask,标签全为背景类（无前景目标）,,,
cropped_H48F015017_clip8_25_0_0,empty_mask,标签全为背景类（无前景目标）,,,
cropped_H48F015017_clip8_26_0_0,empty_mask,标签全为背景类（无前景目标）,,,
cropped_H48F015017_clip8_27_0_0,empty_mask,标签全为背景类（无前景目标）,,,
cropped_H48F015017_clip8_28_0_0,empty_mask,标签全为背景类（无前景目标）,,,
cropped_H48F015017_clip8_29_0_0,empty_mask,标签全为背景类（无前景目标）,,,
cropped_H48F015017_clip8_30_0_0,empty_mask,标签全为背景类（无前景目标）,,,
cropped_H48F015017_clip8_31_0_0,empty_mask,标签全为背景类（无前景目标）,,,
cropped_H48F015017_clip8_32_0_0,empty_mask,标签全为背景类（无前景目标）,,,
cropped_H48F015017_clip8_33_0_0,empty_mask,标签全为背景类（无前景目标）,,,
cropped_H48F015017_clip8_34_0_0,empty_mask,标签全为背景类（无前景目标）,,,
cropped_H48F015017_clip8_35_0_0,empty_mask,标签全为背景类（无前景目标）,,,
cropped_H48F015017_clip8_36_0_0,empty_mask,标签全为背景类（无前景目标）,,,
cropped_H48F015017_clip8_37_0_0,empty_mask,标签全为背景类（无前景目标）,,,
cropped_H48F015017_clip8_38_0_0,empty_mask,标签全为背景类（无前景目标）,,,
cropped_H48F015017_clip8_41_0_0,empty_mask,标签全为背景类（无前景目标）,,,
cropped_H48F015017_clip8_42_0_0,empty_mask,标签全为背景类（无前景目标）,,,
cropped_H48F015017_clip8_43_0_0,empty_mask,标签全为背景类（无前景目标）,,,
cropped_H48F015017_clip8_44_0_0,empty_mask,标签全为背景类（无前景目标）,,,
cropped_H48F015017_clip8_45_0_0,empty_mask,标签全为背景类（无前景目标）,,,
cropped_H48F015017_clip8_46_0_0,empty_mask,标签全为背景类（无前景目标）,,,
cropped_H48F015017_clip8_47_0_0,empty_mask,标签全为背景类（无前景目标）,,,
cropped_H48F015017_clip8_48_0_0,empty_mask,标签全为背景类（无前景目标）,,,
cropped_H48F015017_clip8_49_0_0,empty_mask,标签全为背景类（无前景目标）,,,
cropped_H48F015017_clip8_50_0_0,empty_mask,标签全为背景类（无前景目标）,,,
cropped_H48F015017_clip8_51_0_0,empty_mask,标签全为背景类（无前景目标）,,,
cropped_H48F015017_clip8_52_0_0,empty_mask,标签全为背景类（无前景目标）,,,
cropped_H48F015017_clip8_53_0_0,empty_mask,标签全为背景类（无前景目标）,,,
cropped_H48F015017_clip8_54_0_0,empty_mask,标签全为背景类（无前景目标）,,,
cropped_H48F015017_clip8_55_0_0,empty_mask,标签全为背景类（无前景目标）,,,
cropped_H48F015017_clip8_56_0_0,empty_mask,标签全为背景类（无前景目标）,,,
cropped_H48F015017_clip8_57_0_0,empty_mask,标签全为背景类（无前景目标）,,,
cropped_H48F015017_clip8_58_0_0,empty_mask,标签全为背景类（无前景目标）,,,
cropped_H48F015017_clip8_59_0_0,empty_mask,标签全为背景类（无前景目标）,,,
cropped_H48F015017_clip8_60_0_0,empty_mask,标签全为背景类（无前景目标）,,,
cropped_H48F015017_clip8_61_0_0,empty_mask,标签全为背景类（无前景目标）,,,
cropped_H48F015017_clip8_62_0_0,empty_mask,标签全为背景类（无前景目标）,,,
cropped_H48F015017_clip8_63_0_0,empty_mask,标签全为背景类（无前景目标）,,,
cropped_H48F015017_clip8_64_0_0,empty_mask,标签全为背景类（无前景目标）,,,
cropped_H48F015017_clip8_65_0_0,empty_mask,标签全为背景类（无前景目标）,,,
cropped_H48F015017_clip8_66_0_0,empty_mask,标签全为背景类（无前景目标）,,,
cropped_H48F015017_clip8_67_0_0,empty_mask,标签全为背景类（无前景目标）,,,
cropped_H48F015017_clip8_68_0_0,empty_mask,标签全为背景类（无前景目标）,,,
cropped_H48F015017_clip8_69_0_0,empty_mask,标签全为背景类（无前景目标）,,,
cropped_H48F015017_clip8_70_0_0,empty_mask,标签全为背景类（无前景目标）,,,
cropped_H48F015017_clip8_71_0_0,empty_mask,标签全为背景类（无前景目标）,,,
cropped_H48F015017_clip8_72_0_0,empty_mask,标签全为背景类（无前景目标）,,,
cropped_H48F015017_clip8_73_0_0,empty_mask,标签全为背景类（无前景目标）,,,
cropped_H48F015017_clip8_74_0_0,empty_mask,标签全为背景类（无前景目标）,,,
cropped_H48F015017_clip8_75_0_0,empty_mask,标签全为背景类（无前景目标）,,,
cropped_H48F015017_clip8_76_0_0,empty_mask,标签全为背景类（无前景目标）,,,
